"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-05-28.nlogo"
"percentage_per_svo_10_15_20"
"06/06/2021 15:09:02:730 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"116","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","63.4","0.764","0.5128571428571429","66.35651494565936","22.774234190466878","0.24934043747201004","130.859072064052"
"117","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","37","0.7299999999999999","0.5477142857142856","60.455661291971765","25.75653508697689","0.28031385770738526","125.78651869902654"
"118","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","39.4","0.738","0.5268571428571427","57.475012737081194","28.96245595534347","0.28026003374041153","126.12341065455678"
"119","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","61","0.724","0.5539999999999998","46.66469875934663","41.89740789704238","0.3061905824105253","128.91640051448763"
"120","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","37","0.7380000000000001","0.5491428571428574","61.711082859188274","26.226939703665742","0.33367768457438135","127.34855396724237"
"122","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","39.4","0.652","0.5614285714285714","60.044232046049935","26.74872816064465","0.2778624527284954","126.73976689781087"
"121","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","58.6","0.732","0.5434285714285716","63.8444639834709","24.17797162835924","0.25077732416913395","129.15681220709328"
"123","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","61","0.76","0.5325714285714285","47.311771059368176","40.88746512647347","0.29086582370232605","128.64094828785818"
"124","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","37","0.706","0.5325714285714285","60.227302460437514","26.6980140919794","0.3104008612925817","126.26022850827557"
"125","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","37","0.696","0.5668571428571432","59.86646381757993","27.29679281421589","0.34618531831912097","125.92450698679167"
"126","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","46.6","0.68","0.5502857142857143","58.079092754963746","28.70070288556231","0.24139486914947456","127.45769777574078"
"127","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","44.2","0.636","0.5774285714285714","61.64951913960167","25.902379314301463","0.2596593055998668","128.29942329276446"
"128","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","37","0.71","0.5508571428571427","60.57527052863121","26.655779829841055","0.3007183491729215","126.9344688697161"
"129","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","37","0.708","0.5494285714285714","60.19833771885777","26.318035801780255","0.30130942199056465","125.82478241336311"
"130","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","37","0.7220000000000001","0.5505714285714287","60.03080865070544","26.92432972771588","0.33157810982178476","125.88997778372307"
"131","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","37","0.73","0.5245714285714285","57.48554979397589","29.08132681302223","0.29660307011490517","125.98750083976523"
"132","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","51.4","0.6900000000000001","0.5339999999999998","62.72076913679848","24.76302865932506","0.2406119905822962","128.55666933517972"
